run,timestamp,LR_type,LR_alpha,LR_max_iter,RF_type,RF_n_estimators,RF_max_depth,RF_min_samples_leaf,RF_min_samples_split,RF_max_features,RF_random_state,RF_n_jobs,LGBM_type,LGBM_objective,LGBM_boosting_type,LGBM_num_leaves,LGBM_max_depth,LGBM_learning_rate,LGBM_n_estimators,LGBM_min_child_samples,LGBM_subsample,LGBM_colsample_bytree,LGBM_reg_alpha,LGBM_reg_lambda,LGBM_random_state,LGBM_n_jobs,LGBM_verbose,use_ML_features,device,input_length,pred_length,valid_length,features_in_future,epochs,batch_size,model_dim,num_layers,num_heads,ffn_size,num_geo_blocks,learning_rate,weight_decay,dropout,warmup_steps,patience,min_delta,patch_length,stride,geo_block_ratio,lambda_cross,lambda_coverage,lambda_deriv,lambda_median,smoothing_cross,saturation_cold_degC,threshold_cold_degC,lambda_cold,lambda_regions,lambda_regions_sum,num_patches,quantiles_0,quantiles_1,quantiles_2,quantiles_3,quantiles_4,metaNN_batch_size,metaNN_epochs,metaNN_learning_rate,metaNN_weight_decay,metaNN_dropout,metaNN_patience,metaNN_factor,metaNN_device,metaNN_num_cells_0,metaNN_num_cells_1,num_features,q10,q25,q50,q75,q90,avg_weight_meta_NN_NNTQ,avg_weight_meta_NN_LR,avg_weight_meta_NN_RF,avg_weight_meta_NN_LGBM,test_NNTQ_bias,test_NNTQ_RMSE,test_NNTQ_MAE,test_LR_bias,test_LR_RMSE,test_LR_MAE,test_RF_bias,test_RF_RMSE,test_RF_MAE,test_LGBM_bias,test_LGBM_RMSE,test_LGBM_MAE,test_meta_LR_bias,test_meta_LR_RMSE,test_meta_LR_MAE,test_meta_NN_bias,test_meta_NN_RMSE,test_meta_NN_MAE,avg_abs_worst_days_test,num_runs,loss_NNTQ,loss_meta
72,16/01/2026 20:48:35,ridge,0.95,2000,rf,270,15,14,19,sqrt,0,4,lgbm,regression,gbdt,63,7,0.106,790,7,0.76,0.88,0.09,0.02,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,32,15,4500,66.203624,0.021,4,0.7,cuda,56,20,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.113881,0.130512,0.48734,0.268268,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.730559,2.1203,1.5584,2.362569,1,8.64,1.3491
73,16/01/2026 20:50:13,ridge,1,2000,rf,230,17,12,21,sqrt,0,4,lgbm,regression,gbdt,63,8,0.114,750,6,0.74,0.9,0.08,0.05,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,32,14,4000,40.88173,0.018,4,0.7,cuda,56,20,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.114774,0.158186,0.461056,0.265985,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.709408,2.0851,1.5396,2.362569,1,8.64,1.3384
74,16/01/2026 21:39:50,ridge,1.1,2000,rf,320,16,13,22,sqrt,0,4,lgbm,regression,gbdt,63,7,0.09,820,7,0.8,0.84,0.09,0.03,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,128,15,3500,26.563492,0.005,4,0.7,cuda,64,16,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.132591,0.15816,0.46441,0.244839,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.713598,2.0964,1.5446,2.362569,1,8.64,1.3411
75,16/01/2026 21:40:55,ridge,1.05,2000,rf,290,17,13,20,sqrt,0,4,lgbm,regression,gbdt,31,9,0.074,650,8,0.72,0.88,0.09,0.02,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,512,16,4500,67.966492,0.115,4,0.7,cuda,56,32,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.097191,0.122256,0.463246,0.317307,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.883937,2.1911,1.6108,2.362569,1,8.64,1.3968
76,16/01/2026 21:42:40,ridge,1.05,2000,rf,320,16,12,21,sqrt,0,4,lgbm,regression,gbdt,63,7,0.096,700,9,0.68,0.9,0.1,0.01,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,32,15,4000,6.752845,0.025,4,0.7,cuda,56,24,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.132323,0.126721,0.476579,0.264377,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.706693,2.0998,1.5515,2.362569,1,8.64,1.3407
77,16/01/2026 21:44:13,ridge,1.15,2000,rf,260,15,14,20,sqrt,0,4,lgbm,regression,gbdt,31,5,0.133,730,8,0.78,0.9,0.08,0.03,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,32,14,3500,54.790802,0.003,4,0.7,cuda,56,20,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.114208,0.12662,0.487994,0.271178,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.740812,2.1441,1.5785,2.362569,1,8.64,1.3562
78,16/01/2026 21:46:00,ridge,0.95,2000,rf,300,17,13,22,sqrt,0,4,lgbm,regression,gbdt,63,8,0.103,770,7,0.76,0.86,0.11,0.02,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,32,16,4000,15.178087,0.197,4,0.7,cuda,64,28,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.110294,0.129334,0.479005,0.281367,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.779041,2.1343,1.5734,2.362569,1,8.64,1.3631
79,16/01/2026 21:54:52,ridge,1.1,2000,rf,230,16,14,20,sqrt,0,4,lgbm,regression,gbdt,31,6,0.087,810,6,0.74,0.8,0.1,0.01,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,32,17,4500,32.607067,0.012,4,0.7,cuda,56,16,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.12567,0.14449,0.492857,0.236983,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.692002,2.1161,1.557,2.362569,5,8.64,1.339
80,16/01/2026 21:56:02,ridge,0.85,2000,rf,290,17,13,19,sqrt,0,4,lgbm,regression,gbdt,63,9,0.12,660,9,0.84,0.9,0.09,0.03,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,256,17,4000,41.478246,0.154,4,0.7,cuda,48,20,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.095528,0.155044,0.454093,0.295335,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.828319,2.1493,1.582,2.362569,1,8.64,1.3766
81,16/01/2026 21:57:55,ridge,1,2000,rf,330,19,14,20,sqrt,0,4,lgbm,regression,gbdt,31,6,0.07,850,9,0.78,0.88,0.08,0.05,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,32,17,4500,45.888712,0.02,4,0.7,cuda,48,16,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.123074,0.149825,0.451508,0.275593,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.690989,2.1128,1.5565,2.362569,1,8.64,1.3392
82,16/01/2026 21:59:40,ridge,0.9,2000,rf,310,17,15,21,sqrt,0,4,lgbm,regression,gbdt,31,6,0.107,770,8,0.78,0.9,0.08,0.04,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,32,16,4500,22.728201,0.015,4,0.7,cuda,48,16,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.126818,0.137915,0.467416,0.267851,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.710386,2.1257,1.5646,2.362569,1,8.64,1.3459
83,16/01/2026 22:09:10,ridge,1,2000,rf,260,16,14,19,sqrt,0,4,lgbm,regression,gbdt,31,7,0.101,730,10,0.76,0.92,0.09,0.02,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,32,17,4500,79.11667,0.029,4,0.7,cuda,48,16,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.120543,0.135004,0.491612,0.252841,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.70872,2.1033,1.5478,2.362569,5,8.64,1.3355
84,16/01/2026 22:18:23,ridge,0.95,2000,rf,370,18,13,20,sqrt,0,4,lgbm,regression,gbdt,31,5,0.086,620,9,0.7,0.86,0.08,0.015,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,16,17,4000,54.006523,0.04,4,0.7,cuda,56,16,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.11759,0.121679,0.487633,0.273098,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.745613,2.1105,1.5563,2.362569,1,8.64,1.3511
85,16/01/2026 22:21:00,ridge,1.05,2000,rf,330,18,14,22,sqrt,0,4,lgbm,regression,gbdt,7,6,0.092,560,11,0.8,0.92,0.09,0,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,16,16,3500,38.266061,0.01,4,0.7,cuda,48,20,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.130425,0.145664,0.47323,0.250681,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.685294,2.0985,1.5495,2.362569,1,8.64,1.3356
86,16/01/2026 22:22:40,ridge,1,2000,rf,280,17,12,20,sqrt,0,4,lgbm,regression,gbdt,31,7,0.062,790,9,0.8,0.84,0.1,0.035,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,32,15,4500,27.899121,0.002,4,0.7,cuda,56,16,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.116788,0.138826,0.466248,0.278138,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.75216,2.1266,1.5719,2.362569,1,8.64,1.3561
87,16/01/2026 22:24:01,ridge,1.1,2000,rf,360,19,15,19,sqrt,0,4,lgbm,regression,gbdt,63,7,0.077,610,10,0.78,0.64,0.12,0,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,192,18,4000,82.905688,0.016,4,0.7,cuda,48,24,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.110764,0.146389,0.468737,0.27411,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.778481,2.1332,1.5688,2.362569,1,8.64,1.3623
88,16/01/2026 22:32:51,ridge,1.15,2000,rf,310,15,14,21,sqrt,0,4,lgbm,regression,gbdt,31,8,0.109,700,8,0.84,0.88,0.1,0.025,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,32,16,4500,14.167384,0.023,4,0.7,cuda,56,20,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.117088,0.143572,0.467776,0.271564,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.716784,2.0856,1.5403,2.362569,5,8.64,1.3394
89,16/01/2026 22:33:58,ridge,0.9,2000,rf,290,18,13,21,sqrt,0,4,lgbm,regression,gbdt,63,6,0.116,650,7,0.74,0.86,0.08,0.045,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,640,17,4000,48.207721,0.036,4,0.7,cuda,56,16,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.103297,0.146783,0.466517,0.283403,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.870562,2.1735,1.5962,2.362569,1,8.64,1.3903
90,16/01/2026 22:34:57,ridge,1.05,2000,rf,250,16,12,22,sqrt,0,4,lgbm,regression,gbdt,31,6,0.065,740,10,0.76,0.92,0.09,0.005,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,384,15,3500,20.643018,0.044,4,0.7,cuda,48,20,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.100565,0.147059,0.46453,0.287845,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.868889,2.1667,1.5915,2.362569,1,8.64,1.3886
91,16/01/2026 22:44:24,ridge,1,2000,rf,370,19,14,18,sqrt,0,4,lgbm,regression,gbdt,31,6,0.126,560,9,0.82,0.92,0.08,0.055,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,32,17,5000,63.673263,0.016,4,0.7,cuda,48,16,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.124486,0.127447,0.475385,0.272682,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.704769,2.0998,1.548,2.362569,5,8.64,1.34
92,16/01/2026 22:46:17,ridge,0.95,2000,rf,340,18,14,19,sqrt,0,4,lgbm,regression,gbdt,31,5,0.081,630,9,0.82,0.94,0.08,0.025,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,32,17,4500,33.230731,0.012,4,0.7,cuda,48,16,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.132999,0.152182,0.454736,0.260084,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.673086,2.1091,1.5496,2.362569,1,8.64,1.3341
93,16/01/2026 22:55:39,ridge,0.95,2000,rf,340,18,13,20,sqrt,0,4,lgbm,regression,gbdt,31,5,0.083,630,8,0.8,0.94,0.09,0.025,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,32,17,4500,32.452732,0.01,4,0.7,cuda,48,16,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.1156,0.130029,0.500088,0.254283,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.710308,2.1161,1.5609,2.362569,5,8.64,1.3358
94,18/01/2026 09:29:16,ridge,0.9,2000,rf,360,17,14,19,sqrt,0,4,lgbm,regression,gbdt,31,5,0.08,600,9,0.78,0.94,0.07,0.035,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,32,18,1500,43.875155,0.026,4,0.7,cuda,48,16,58,0.288494,0.361121,0.265033,0.15113,0.059843,0.086443,0.157047,0.331338,0.425172,1.59399,2.6834,2.137,0.174528,2.8339,2.1965,1.464177,2.6993,1.9772,1.410406,2.3826,1.7976,0.188732,1.8133,1.3523,0.915879,2.0825,1.5549,2.114563,1,51.13,1.3597
95,18/01/2026 10:00:28,ridge,1,2000,rf,270,18,13,20,sqrt,0,4,lgbm,regression,gbdt,7,7,0.089,630,8,0.76,0.9,0.1,0.015,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,32,17,4500,98.982088,0.031,4,0.7,cuda,56,20,58,0.288494,0.361121,0.265033,0.15113,0.059843,0.084024,0.118306,0.339862,0.457808,1.59399,2.6834,2.137,0.174528,2.8339,2.1965,1.464177,2.6993,1.9772,1.410406,2.3826,1.7976,0.188732,1.8133,1.3523,0.933148,2.1202,1.582,2.114563,1,51.13,1.3707
96,2026-01-18 19:43:02.195829,ridge,0.850000,2000,rf,340,17,14,21,sqrt,0,4,lgbm,regression,gbdt,63,7,0.096000,680,11,0.820000,0.940000,0.090000,0.025000,0,4,-1,0,cuda,576,72,48,True,15,64,525,4,5,4,8,16200.000000,0.001447,0.120000,2000,6,0.034000,36,15,1,0.000000,0.180000,0.048000,0.040000,0.057000,-4.300000,-1.000000,0.130000,0.052000,0.420000,61,0.100000,0.250000,0.500000,0.750000,0.900000,512,16,4000.000000,8.228541,0.008000,4,0.700000,cuda,56,16,55,0.001030,-0.048029,-0.095792,-0.068655,-0.043555,0.060166,0.175487,0.305629,0.458718,-0.738376,3.212800,2.497000,0.195389,2.803000,2.175400,1.427264,2.644200,1.939300,1.637492,2.504200,1.938500,0.118186,1.710700,1.262500,0.867215,2.038800,1.510900,2.488745,1,14.430000,1.335600
97,2026-01-18 19:50:34.058804,ridge,0.950000,2000,rf,200,16,15,19,sqrt,0,4,lgbm,regression,gbdt,31,8,0.101000,520,10,0.780000,0.880000,0.080000,0.035000,0,4,-1,0,cuda,576,72,48,True,15,64,525,4,5,4,8,16200.000000,0.001447,0.120000,2000,6,0.034000,36,15,1,0.000000,0.180000,0.048000,0.040000,0.057000,-4.300000,-1.000000,0.130000,0.052000,0.420000,61,0.100000,0.250000,0.500000,0.750000,0.900000,128,18,4500.000000,20.386746,0.127000,4,0.700000,cuda,48,24,55,0.001030,-0.048029,-0.095792,-0.068655,-0.043555,0.061677,0.161813,0.342512,0.433998,-0.738376,3.212800,2.497000,0.195389,2.803000,2.175400,1.427264,2.644200,1.939300,1.637492,2.504200,1.938500,0.118186,1.710700,1.262500,0.807752,2.048100,1.520400,2.488745,5,14.430000,1.324400
98,2026-01-18 19:57:18.608177,ridge,0.800000,2000,rf,200,16,15,19,sqrt,0,4,lgbm,regression,gbdt,31,8,0.102000,520,10,0.840000,0.880000,0.090000,0.015000,0,4,-1,0,cuda,576,72,48,True,15,64,525,4,5,4,8,16200.000000,0.001447,0.120000,2000,6,0.034000,36,15,1,0.000000,0.180000,0.048000,0.040000,0.057000,-4.300000,-1.000000,0.130000,0.052000,0.420000,61,0.100000,0.250000,0.500000,0.750000,0.900000,128,19,4000.000000,24.738616,0.129000,4,0.700000,cuda,48,24,55,0.001030,-0.048029,-0.095792,-0.068655,-0.043555,0.067384,0.154690,0.343086,0.434839,-0.738376,3.212800,2.497000,0.195389,2.803000,2.175400,1.427264,2.644200,1.939300,1.637492,2.504200,1.938500,0.118186,1.710700,1.262500,0.809283,2.054700,1.521900,2.488745,5,14.430000,1.325500
