run,timestamp,LR_type,LR_alpha,LR_max_iter,RF_type,RF_n_estimators,RF_max_depth,RF_min_samples_leaf,RF_min_samples_split,RF_max_features,RF_random_state,RF_n_jobs,LGBM_type,LGBM_objective,LGBM_boosting_type,LGBM_num_leaves,LGBM_max_depth,LGBM_learning_rate,LGBM_n_estimators,LGBM_min_child_samples,LGBM_subsample,LGBM_colsample_bytree,LGBM_reg_alpha,LGBM_reg_lambda,LGBM_random_state,LGBM_n_jobs,LGBM_verbose,use_ML_features,device,input_length,pred_length,valid_length,features_in_future,epochs,batch_size,model_dim,num_layers,num_heads,ffn_size,num_geo_blocks,learning_rate,weight_decay,dropout,warmup_steps,patience,min_delta,patch_length,stride,geo_block_ratio,lambda_cross,lambda_coverage,lambda_deriv,lambda_median,smoothing_cross,saturation_cold_degC,threshold_cold_degC,lambda_cold,lambda_regions,lambda_regions_sum,quantiles_0,quantiles_1,quantiles_2,quantiles_3,quantiles_4,metaNN_batch_size,metaNN_epochs,metaNN_learning_rate,metaNN_weight_decay,metaNN_dropout,metaNN_patience,metaNN_factor,metaNN_device,metaNN_num_cells_0,metaNN_num_cells_1,num_features,q10,q25,q50,q75,q90,avg_weight_meta_NN_NNTQ_q50,avg_weight_meta_NN_NNTQ_inter,avg_weight_meta_NN_LR,avg_weight_meta_NN_RF,avg_weight_meta_NN_LGBM,test_NNTQ_bias,test_NNTQ_RMSE,test_NNTQ_MAE,test_LR_bias,test_LR_RMSE,test_LR_MAE,test_RF_bias,test_RF_RMSE,test_RF_MAE,test_LGBM_bias,test_LGBM_RMSE,test_LGBM_MAE,test_meta_LR_bias,test_meta_LR_RMSE,test_meta_LR_MAE,test_meta_NN_bias,test_meta_NN_RMSE,test_meta_NN_MAE,avg_abs_worst_days_test,num_runs,loss_NNTQ,loss_meta
102,2026-01-20 10:42:40.498113,ridge,0.9,2000,rf,500,23,14,16,sqrt,0,4,lgbm,regression,gbdt,15,2,0.115000,550,10,0.860000,0.84,0.100000,0.03,0,4,-1,0,cuda,672,72,48,True,18,32,600,5,6,5,8,10000.000000,0.008152,0.200000,2000,6,0.036000,48,24,1.000000,0.032000,0.080000,0.032000,0.000000,0.072000,-2.400000,0.000000,0.140000,0.032000,0.480000,0.100000,0.250000,0.500000,0.750000,0.900000,192,1,2800.000000,8.000000,0.085000,4,0.700000,cuda,40,20,55,0.008292,-0.050273,-0.083304,-0.076626,-0.042895,0.136426,0.015407,0.207353,0.362458,0.278356,-0.573801,3.087000,2.396400,0.046801,2.579300,2.016800,1.432051,2.633800,1.937600,1.982773,2.926200,2.311200,0.040289,1.878800,1.401700,0.306225,2.424400,1.805000,2.388927,7,15.420000,1.319440
103,2026-01-20 10:43:20.632686,ridge,0.9,2000,rf,500,23,14,16,sqrt,0,4,lgbm,regression,gbdt,15,2,0.115000,550,10,0.860000,0.84,0.100000,0.03,0,4,-1,0,cuda,672,72,48,True,20,32,576,5,6,5,8,8400.000000,0.001501,0.180000,2000,6,0.036000,48,24,1.000000,0.024000,0.060000,0.040000,0.000000,0.070000,-2.000000,-0.500000,0.140000,0.024000,0.480000,0.100000,0.250000,0.500000,0.750000,0.900000,192,1,2800.000000,8.000000,0.085000,4,0.700000,cuda,40,20,55,0.085393,0.135476,0.166785,0.097994,0.049964,0.174786,0.018800,0.233212,0.263429,0.309772,1.196651,3.343200,2.594900,0.046801,2.579300,2.016800,1.432051,2.633800,1.937600,1.982773,2.926200,2.311200,0.125769,1.928300,1.435100,0.359728,2.467600,1.850200,2.593025,1,21.010000,1.353000
104,2026-01-20 10:44:02.188688,ridge,0.9,2000,rf,500,23,14,16,sqrt,0,4,lgbm,regression,gbdt,15,2,0.115000,550,10,0.860000,0.84,0.100000,0.03,0,4,-1,0,cuda,672,72,48,True,18,32,600,5,6,5,8,9200.000000,0.081201,0.200000,2000,6,0.036000,48,24,1.000000,0.008000,0.080000,0.024000,0.000000,0.072000,-2.600000,0.700000,0.160000,0.024000,0.480000,0.100000,0.250000,0.500000,0.750000,0.900000,192,1,2800.000000,8.000000,0.085000,4,0.700000,cuda,40,20,55,0.098035,0.169694,0.169901,0.117729,0.050558,0.113257,0.017025,0.218239,0.325472,0.326007,1.287060,3.376700,2.629900,0.046801,2.579300,2.016800,1.432051,2.633800,1.937600,1.982773,2.926200,2.311200,0.104269,1.924800,1.439300,0.430867,2.352700,1.740800,2.628979,1,23.630000,1.341500
105,2026-01-20 10:48:44.673236,ridge,0.9,2000,rf,500,23,14,16,sqrt,0,4,lgbm,regression,gbdt,15,2,0.115000,550,10,0.860000,0.84,0.100000,0.03,0,4,-1,0,cuda,672,72,48,True,18,32,576,5,6,6,8,7600.000000,0.013335,0.180000,2000,6,0.036000,48,24,1.000000,0.024000,0.060000,0.016000,0.000000,0.068000,-2.200000,0.300000,0.140000,0.032000,0.480000,0.100000,0.250000,0.500000,0.750000,0.900000,192,1,2800.000000,8.000000,0.085000,4,0.700000,cuda,40,20,55,0.040966,0.055051,0.023890,0.051460,0.015865,0.105266,0.017297,0.225570,0.338700,0.313167,0.131614,3.220100,2.475300,0.046801,2.579300,2.016800,1.432051,2.633800,1.937600,1.982773,2.926200,2.311200,0.035275,1.900800,1.412300,0.296333,2.410800,1.736900,2.471635,7,14.440000,1.326240
106,2026-01-20 10:53:54.265079,ridge,0.9,2000,rf,500,23,14,16,sqrt,0,4,lgbm,regression,gbdt,15,2,0.115000,550,10,0.860000,0.84,0.100000,0.03,0,4,-1,0,cuda,672,72,48,True,18,32,552,6,6,6,8,6400.000000,0.014330,0.220000,2000,6,0.036000,48,24,1.000000,0.016000,0.060000,0.016000,0.000000,0.068000,-2.400000,0.500000,0.180000,0.032000,0.480000,0.100000,0.250000,0.500000,0.750000,0.900000,192,1,2800.000000,8.000000,0.085000,4,0.700000,cuda,40,20,55,0.025653,0.000772,0.049501,0.047929,0.027350,0.120957,0.015595,0.239632,0.352485,0.271332,0.385151,3.728100,2.804900,0.046801,2.579300,2.016800,1.432051,2.633800,1.937600,1.982773,2.926200,2.311200,0.074843,1.957400,1.452600,0.289448,2.343900,1.736900,2.806345,7,14.460000,1.349440
107,2026-01-20 10:54:30.155704,ridge,0.9,2000,rf,500,23,14,16,sqrt,0,4,lgbm,regression,gbdt,15,2,0.115000,550,10,0.860000,0.84,0.100000,0.03,0,4,-1,0,cuda,672,72,48,True,18,64,552,7,6,6,8,5600.000000,0.012153,0.220000,2000,6,0.036000,48,24,1.000000,0.024000,0.060000,0.016000,0.000000,0.068000,-2.400000,0.900000,0.200000,0.032000,0.480000,0.100000,0.250000,0.500000,0.750000,0.900000,192,1,2800.000000,8.000000,0.085000,4,0.700000,cuda,40,20,55,0.110381,0.146635,0.194919,0.103632,0.029161,0.075876,0.014352,0.293807,0.261286,0.354679,1.907316,5.602700,4.341300,0.046801,2.579300,2.016800,1.432051,2.633800,1.937600,1.982773,2.926200,2.311200,0.209808,2.056000,1.519200,0.622264,2.433300,1.817100,4.353080,1,27.410000,1.424900
108,2026-01-20 10:55:10.469866,ridge,0.9,2000,rf,500,23,14,16,sqrt,0,4,lgbm,regression,gbdt,15,2,0.115000,550,10,0.860000,0.84,0.100000,0.03,0,4,-1,0,cuda,672,72,48,True,18,32,552,6,6,6,8,6800.000000,0.007370,0.220000,2000,5,0.036000,48,24,1.000000,0.032000,0.060000,0.016000,0.000000,0.064000,-2.200000,0.300000,0.140000,0.032000,0.520000,0.100000,0.250000,0.500000,0.750000,0.900000,192,1,2800.000000,8.000000,0.085000,4,0.700000,cuda,40,20,55,0.073789,0.105176,0.150582,0.097489,0.042337,0.151637,0.020898,0.296214,0.293929,0.237323,1.307526,4.630700,3.471600,0.046801,2.579300,2.016800,1.432051,2.633800,1.937600,1.982773,2.926200,2.311200,0.177863,2.019600,1.490500,0.155900,2.956300,2.107500,3.476312,1,20.580000,1.404500
109,2026-01-20 10:55:58.132960,ridge,0.9,2000,rf,500,23,14,16,sqrt,0,4,lgbm,regression,gbdt,15,2,0.115000,550,10,0.860000,0.84,0.100000,0.03,0,4,-1,0,cuda,672,72,48,True,18,32,576,6,6,6,9,6000.000000,0.002587,0.160000,2000,6,0.036000,48,12,1.000000,0.016000,0.060000,0.016000,0.000000,0.070000,-3.200000,0.500000,0.180000,0.032000,0.480000,0.100000,0.250000,0.500000,0.750000,0.900000,192,1,2800.000000,8.000000,0.085000,4,0.700000,cuda,40,20,55,0.115218,0.174679,0.192693,0.144082,0.053466,0.056198,0.014789,0.226184,0.451084,0.251745,1.520693,4.077100,3.116000,0.046801,2.579300,2.016800,1.432051,2.633800,1.937600,1.982773,2.926200,2.311200,0.071433,1.988100,1.478000,0.669715,2.481900,1.839900,3.119513,1,26.930000,1.422000
110,2026-01-20 10:56:34.758131,ridge,0.9,2000,rf,500,23,14,16,sqrt,0,4,lgbm,regression,gbdt,15,2,0.115000,550,10,0.860000,0.84,0.100000,0.03,0,4,-1,0,cuda,672,72,48,True,18,32,576,6,6,6,7,4000.000000,0.009473,0.220000,2500,4,0.036000,48,24,1.000000,0.024000,0.060000,0.008000,0.000000,0.068000,-2.400000,1.200000,0.120000,0.032000,0.480000,0.100000,0.250000,0.500000,0.750000,0.900000,192,1,2800.000000,8.000000,0.085000,4,0.700000,cuda,40,20,55,0.310078,0.308731,0.163936,0.022317,-0.076341,0.125660,0.026694,0.246327,0.375668,0.225650,1.818901,7.576100,5.945000,0.046801,2.579300,2.016800,1.432051,2.633800,1.937600,1.982773,2.926200,2.311200,0.249709,2.143400,1.610100,0.045509,3.635800,2.312100,5.954456,1,58.410000,1.499700
111,2026-01-20 10:57:14.988656,ridge,0.9,2000,rf,500,23,14,16,sqrt,0,4,lgbm,regression,gbdt,15,2,0.115000,550,10,0.860000,0.84,0.100000,0.03,0,4,-1,0,cuda,672,72,48,True,18,32,576,5,6,6,8,9200.000000,0.001468,0.200000,2000,6,0.036000,48,24,1.000000,0.016000,0.100000,0.016000,0.000000,0.066000,-2.800000,0.600000,0.180000,0.032000,0.480000,0.100000,0.250000,0.500000,0.750000,0.900000,192,1,2800.000000,8.000000,0.085000,4,0.700000,cuda,40,20,55,0.105484,0.160672,0.195275,0.121439,0.056404,0.146282,0.025077,0.246897,0.311144,0.270600,1.464524,3.677500,2.877200,0.046801,2.579300,2.016800,1.432051,2.633800,1.937600,1.982773,2.926200,2.311200,0.129070,1.938000,1.437100,0.025904,2.813900,1.973000,2.876926,1,24.770000,1.331900
